"Date_Mvt","Date_Mvt1","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D"
"01/01/2012 00:00:00","2012/01/01","0","11,66"
"02/01/2012 00:00:00","2012/01/02","0","11,66"
"03/01/2012 00:00:00","2012/01/03","350","97,79"
"05/01/2012 00:00:00","2012/01/05","555","726,33"
"06/01/2012 00:00:00","2012/01/06","330","384,09"
"07/01/2012 00:00:00","2012/01/07","265","313,96"
"08/01/2012 00:00:00","2012/01/08","0","24,66"
"09/01/2012 00:00:00","2012/01/09","8005","7979,66"
"10/01/2012 00:00:00","2012/01/10","575,28","536,55"
"11/01/2012 00:00:00","2012/01/11","220","238,97"
"12/01/2012 00:00:00","2012/01/12","446,44","428,03"
"13/01/2012 00:00:00","2012/01/13","1580","1604,76"
"14/01/2012 00:00:00","2012/01/14","0","46,66"
"18/01/2012 00:00:00","2012/01/18","80","42,54"
"19/01/2012 00:00:00","2012/01/19","200","213,32"
"20/01/2012 00:00:00","2012/01/20","850","803,31"
"21/01/2012 00:00:00","2012/01/21","200","269,32"
"23/01/2012 00:00:00","2012/01/23","5690","5683,38"
"24/01/2012 00:00:00","2012/01/24","160","154,76"
"25/01/2012 00:00:00","2012/01/25","450","406,87"
"26/01/2012 00:00:00","2012/01/26","44,3","74,82"
"27/01/2012 00:00:00","2012/01/27","300","298,95"
"28/01/2012 00:00:00","2012/01/28","160","151,04"
"30/01/2012 00:00:00","2012/01/30","206","166,09"
"31/01/2012 00:00:00","2012/01/31","2725","2531,1"
"01/02/2012 00:00:00","2012/02/01","2500","2705,69"
"02/02/2012 00:00:00","2012/02/02","240","189,88"
"03/02/2012 00:00:00","2012/02/03","2330","2325,03"
"04/02/2012 00:00:00","2012/02/04","600","629,88"
"06/02/2012 00:00:00","2012/02/06","980","908,8"
"07/02/2012 00:00:00","2012/02/07","250","360,86"
"08/02/2012 00:00:00","2012/02/08","1055","1031,26"
"09/02/2012 00:00:00","2012/02/09","1799","1819,45"
"10/02/2012 00:00:00","2012/02/10","600","595,54"
"11/02/2012 00:00:00","2012/02/11","680","661,66"
"13/02/2012 00:00:00","2012/02/13","740","629,31"
"14/02/2012 00:00:00","2012/02/14","200","313,4"
"15/02/2012 00:00:00","2012/02/15","570","558,54"
"16/02/2012 00:00:00","2012/02/16","100","133,43"
"17/02/2012 00:00:00","2012/02/17","3680,66","3519,23"
"18/02/2012 00:00:00","2012/02/18","0","127,52"
"20/02/2012 00:00:00","2012/02/20","720","722,12"
"21/02/2012 00:00:00","2012/02/21","200","212,32"
"22/02/2012 00:00:00","2012/02/22","400","392,7"
"23/02/2012 00:00:00","2012/02/23","200","228,18"
"24/02/2012 00:00:00","2012/02/24","11980","11964,43"
"25/02/2012 00:00:00","2012/02/25","593","575,09"
"27/02/2012 00:00:00","2012/02/27","1280","1296,97"
"28/02/2012 00:00:00","2012/02/28","2070","2113,86"
"29/02/2012 00:00:00","2012/02/29","248,3","270,61"
"01/03/2012 00:00:00","2012/03/01","5362,69","5128,23"
"02/03/2012 00:00:00","2012/03/02","2850","3074,96"
"03/03/2012 00:00:00","2012/03/03","0","6,66"
"05/03/2012 00:00:00","2012/03/05","393,2","285,13"
"06/03/2012 00:00:00","2012/03/06","450","457,29"
"07/03/2012 00:00:00","2012/03/07","1060","1119,11"
"08/03/2012 00:00:00","2012/03/08","970","1011,53"
"09/03/2012 00:00:00","2012/03/09","750","733,63"
"10/03/2012 00:00:00","2012/03/10","270","268,05"
"12/03/2012 00:00:00","2012/03/12","4500","4464,8"
"13/03/2012 00:00:00","2012/03/13","1829","1882,32"
"14/03/2012 00:00:00","2012/03/14","4310","4253,83"
"15/03/2012 00:00:00","2012/03/15","3170","3226,3"
"16/03/2012 00:00:00","2012/03/16","300","243,84"
"17/03/2012 00:00:00","2012/03/17","100","158,54"
"19/03/2012 00:00:00","2012/03/19","400","94,3"
"20/03/2012 00:00:00","2012/03/20","450","738,32"
"21/03/2012 00:00:00","2012/03/21","624","629,8"
"22/03/2012 00:00:00","2012/03/22","450","451,66"
"23/03/2012 00:00:00","2012/03/23","1477","1478,54"
"24/03/2012 00:00:00","2012/03/24","470","446"
"26/03/2012 00:00:00","2012/03/26","500","509,33"
"27/03/2012 00:00:00","2012/03/27","200","213,88"
"28/03/2012 00:00:00","2012/03/28","900","900,21"
"29/03/2012 00:00:00","2012/03/29","12","12,21"
"30/03/2012 00:00:00","2012/03/30","500","456,66"
"31/03/2012 00:00:00","2012/03/31","17525","17690,43"
"02/04/2012 00:00:00","2012/04/02","50","16,99"
"03/04/2012 00:00:00","2012/04/03","0","31,08"
"04/04/2012 00:00:00","2012/04/04","530","411,21"
"05/04/2012 00:00:00","2012/04/05","5417","5413,66"
"06/04/2012 00:00:00","2012/04/06","130","122,51"
"07/04/2012 00:00:00","2012/04/07","260","243,66"
"09/04/2012 00:00:00","2012/04/09","50","84,43"
"10/04/2012 00:00:00","2012/04/10","4750","4739,13"
"11/04/2012 00:00:00","2012/04/11","114","117,21"
"12/04/2012 00:00:00","2012/04/12","420","409"
"13/04/2012 00:00:00","2012/04/13","200","198,53"
"14/04/2012 00:00:00","2012/04/14","0","19,98"
"16/04/2012 00:00:00","2012/04/16","620","614,48"
"17/04/2012 00:00:00","2012/04/17","230","233,88"
"18/04/2012 00:00:00","2012/04/18","5","6,66"
"19/04/2012 00:00:00","2012/04/19","15","15"
"20/04/2012 00:00:00","2012/04/20","3502","2120,55"
"21/04/2012 00:00:00","2012/04/21","2850","4042,96"
"23/04/2012 00:00:00","2012/04/23","1070","1214,53"
"24/04/2012 00:00:00","2012/04/24","83","78,52"
"25/04/2012 00:00:00","2012/04/25","0","48,9"
"26/04/2012 00:00:00","2012/04/26","690","665,76"
"27/04/2012 00:00:00","2012/04/27","490","494,21"
"28/04/2012 00:00:00","2012/04/28","530","537,75"
"30/04/2012 00:00:00","2012/04/30","10890","7302,74"
"02/05/2012 00:00:00","2012/05/02","1070","4630,95"
"03/05/2012 00:00:00","2012/05/03","1350","215,95"
"04/05/2012 00:00:00","2012/05/04","611","1693,63"
"05/05/2012 00:00:00","2012/05/05","821","897,3"
"07/05/2012 00:00:00","2012/05/07","750","746,81"
"08/05/2012 00:00:00","2012/05/08","1270","846,8"
"09/05/2012 00:00:00","2012/05/09","756","1089,42"
"10/05/2012 00:00:00","2012/05/10","355","393,59"
"11/05/2012 00:00:00","2012/05/11","802","827,01"
"12/05/2012 00:00:00","2012/05/12","860","863,45"
"14/05/2012 00:00:00","2012/05/14","468","506,06"
"15/05/2012 00:00:00","2012/05/15","960","930,46"
"16/05/2012 00:00:00","2012/05/16","695","704,41"
"18/05/2012 00:00:00","2012/05/18","250","207,23"
"19/05/2012 00:00:00","2012/05/19","1490","1544,41"
"21/05/2012 00:00:00","2012/05/21","1015","912,37"
"22/05/2012 00:00:00","2012/05/22","64","158,15"
"23/05/2012 00:00:00","2012/05/23","800","788,24"
"24/05/2012 00:00:00","2012/05/24","3209","3149,76"
"25/05/2012 00:00:00","2012/05/25","0","90"
"29/05/2012 00:00:00","2012/05/29","620","571"
"30/05/2012 00:00:00","2012/05/30","230","273,21"
"31/05/2012 00:00:00","2012/05/31","400","375,99"
"01/06/2012 00:00:00","2012/06/01","1079","1068,65"
"02/06/2012 00:00:00","2012/06/02","0","38,7"
"04/06/2012 00:00:00","2012/06/04","320","277,31"
"05/06/2012 00:00:00","2012/06/05","1321","1351,41"
"06/06/2012 00:00:00","2012/06/06","660","681,66"
"07/06/2012 00:00:00","2012/06/07","480","475,08"
"08/06/2012 00:00:00","2012/06/08","1950","1945,96"
"09/06/2012 00:00:00","2012/06/09","192,46","198,01"
"11/06/2012 00:00:00","2012/06/11","150","114,97"
"12/06/2012 00:00:00","2012/06/12","200","188,31"
"13/06/2012 00:00:00","2012/06/13","835","297,15"
