"CODE","LIBCATEG","Categorie","NUM"
"-","FONCTIONNEMENT","Dépenses","30"
"604130","Articles alimentaires                             ","Dépenses","2"
"604210","Carburant et lubrifiant","Dépenses","3"
"604300","Produits d’entretien","Dépenses","4"
"604710","Fournitures de bureau","Dépenses","5"
"604720","Consommables informatiques","Dépenses","6"
"605100","Eau","Dépenses","7"
"605200","Electricité","Dépenses","8"
"605820","Achat pièces de rechanges, matériels et équipements","Dépenses","9"
"618120","Déplacement","Dépenses","10"
"622210","Loyers locaux et bureaux de service","Dépenses","11"
"624000","Entretien, réparations et maintenance","Dépenses","12"
"626530","Abonnements","Dépenses","13"
"628100","Frais de communications et télécommunications","Dépenses","14"
"631000","Frais bancaire","Dépenses","15"
"632530","Frais de justice","Dépenses","28"
"632540A","Frais de contentieux DBLF","Dépenses","16"
"632831","Frais médicaux","Dépenses","17"
"632840","Frais de gardiennage et sécurité","Dépenses","18"
"632860","Frais d’impression, reproduction et reliure","Dépenses","19"
"638410","Frais de mission intérieur","Dépenses","20"
"659800","Autres charges","Dépenses","21"
"661257","Prime du comptable","Dépenses","22"
"661272","Prime de surveillance SEP","Dépenses","29"
"661273","Prime amendes transactionnelles","Dépenses","23"
"661710","Colis fin d'année","Dépenses","24"
"663841","Collations","Dépenses","25"
"668340","Frais funéraires et assistance deuil","Dépenses","26"
"668360","Aide & secours","Dépenses","27"
"707820","Entrée (Approvisionnement)","Recettes","1"
"632540B","Frais de contentieux Kin Ville","Dépenses","16,5"
