"Num_Auto_Mvt","Num_Mvt","Mvt","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D","MT_Lttre_Mvt","Motif_Mvt","Date_Mvt","Date_Mvt1","Code_Service","Service_Mvt","Solde_Av_Mvt","Solde_Av_Mvt1","Solde_Ap_Mvt","Solde_Ap_Mvt1","Heure_Mvt","Benef_Mvt","Code_Rubrique","Rubrique_Mvt"
"12","7","Recettes","1500","0","Mille cinq cent dollars américains","Approvisionnement caisse","17/07/2013 00:00:00","2013/07/17","Cse","Caisse","3664,6","3664,6","5164","5164","30/12/1899 01:13:05","Tweva","116","Approvisionnement caisse"
"13","8","Recettes","1000","0","Mille dollars américains","Approvisionnement caisse","17/07/2013 00:00:00","2013/07/17","Cse","Caisse","1000","1000","2000","2000","30/12/1899 17:03:53","Tweva","116","Approvisionnement caisse"
"14","9","Recettes","2000","0","Deux mille dollars américains","Apport Président","17/07/2013 00:00:00","2013/07/17","Cse","Caisse","2000","2000","4000","4000","30/12/1899 17:04:52","Président","4","Apport Président"
"15","7","Dépenses","0","500","Cinq cent dollars américains","Achat fourniture de bureau","17/07/2013 00:00:00","2013/07/17","Bur","Bureau","4164,6","4164,6","3664,6","3664,6","30/12/1899 01:50:30","Tweva","91","Achat fourniture de bureau"
"16","8","Dépenses","0","25,4","Vingt cinq et quarante centime dollars américains","Transport courses de service","17/07/2013 00:00:00","2013/07/17","Bur","Bureau","3700","3700","3674,6","3674,6","30/12/1899 17:08:30","Tweva","9","Transport courses de service"
"17","9","Dépenses","0","10","Dix dollars américains","Transport courses de service","17/07/2013 00:00:00","2013/07/17","Bur","Bureau","3674,6","3674,6","3664,6","3664,6","30/12/1899 17:09:25","Tweva","9","Transport courses de service"
"18","10","Recettes","200","0","Dollars américains deux cent ","Prestation de sciage ","31/07/2013 00:00:00","2013/07/31","Sc","Sciérie","3664,6","3664,6","3864,6","3864,6","30/12/1899 12:44:29","Coco","1","Prestation de sciage "
"19","10","Dépenses","0","300","Dollars américains trois cent ","Achat axe scierie","31/07/2013 00:00:00","2013/07/31","Sc","Sciérie","3864,6","3864,6","3564,6","3564,6","30/12/1899 12:47:08","Coco","104","Achat axe scierie"
"20","11","Recettes","100","0","Dollars américains  cent  ","Apport Président","30/07/2013 00:00:00","2013/07/30","Pres","Président","3564,6","3564,6","3664,6","3664,6","30/12/1899 13:05:15","Coco","4","Apport Président"
"21","11","Dépenses","0","50","Dollars américains  cinquante  ","Transport agents","31/07/2013 00:00:00","2013/07/31","Pres","Président","3664,6","3664,6","3614,6","3614,6","30/12/1899 13:06:08","Coco","135","Transport agents"
"22","12","Dépenses","0","50","Dollars américains  cinquante  ","Transport agents","30/07/2013 00:00:00","2013/07/30","Bur","Bureau","3614,6","3614,6","3564,6","3564,6","30/12/1899 13:10:13","Coco","135","Transport agents"
